expo,table,project,sponsors,link,route
2,5,Tempus,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Use of Nexmo API, Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56704-tempus,education
1,83,SCOPE Camera,"Best Use of Rapid Prototyping, sposnored by AddLab, Most Entrepreneurial Hack",http://pennapps-xiv.devpost.com/submissions/56705-scope-camera,hardware
2,7,Sine - Sunglasses that play audio only you can hear.,"Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56706-sine-sunglasses-that-play-audio-only-you-can-hear,hardware
2,8,Lyft Offline,"Best Use of Nexmo API, Best Use of Linode Services, Best Use of MongoDB, Best User Experience, Best Progressive Web App, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56707-lyft-offline,social + civic hacking
2,9,r-esc,,http://pennapps-xiv.devpost.com/submissions/56708-r-esc,
2,10,AdmitMe,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Domain Name Registered in PennApps XIV, Best Use of MongoDB",http://pennapps-xiv.devpost.com/submissions/56709-admitme,education
2,11,Oyster ,"Most Entrepreneurial Hack, Best User Experience, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56710-oyster,social + civic hacking
2,12,iPonzi,"Most Entrepreneurial Hack, Best Use of the Capital One API - Nessie, Best Domain Name Registered in PennApps XIV, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56711-iponzi,social + civic hacking
2,13,Life,"Best Public Safety or Video Processing App, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56714-life,social + civic hacking
2,14,Person of Interest,,http://pennapps-xiv.devpost.com/submissions/56715-person-of-interest,social + civic hacking
2,15,OpenCFood,"Most Entrepreneurial Hack, Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56717-opencfood,health
2,16,Virtual-Augmented Reality,"Best Use of VR/AR for Content Discovery, Best Use of Rapid Prototyping, sposnored by AddLab, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56718-virtual-augmented-reality,vr/ar
2,17,ScoreBored,"Most Entrepreneurial Hack, Lutron IoT Prize, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56730-scorebored,vr/ar
2,18,Lyft4Humanity,"Best Use of the Capital One API - Nessie, Best Domain Name Registered in PennApps XIV, Best Use of Nexmo API, Best Use of Linode Services, Best Use of MongoDB, Best User Experience, Best Progressive Web App, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56731-lyft4humanity,social + civic hacking
2,19,StockTunes,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56733-stocktunes,social + civic hacking
2,20,nullHands,"Best Public Safety or Video Processing App, Best Domain Name Registered in PennApps XIV, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56735-nullhands,hardware
2,21,Internet of Trees,"Best Use of MongoDB, Best Use of Data Visualization",http://pennapps-xiv.devpost.com/submissions/56736-internet-of-trees,social + civic hacking
2,22,graffiti,"Best Domain Name Registered in PennApps XIV, Best Use of VR/AR for Content Discovery, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56737-graffiti,vr/ar
2,23,Secure Galaxy,Best Use of MongoDB,http://pennapps-xiv.devpost.com/submissions/56738-secure-galaxy,cybersecurity
2,24,InTrack,"Best Public Safety or Video Processing App, Lutron IoT Prize, Most Entrepreneurial Hack",http://pennapps-xiv.devpost.com/submissions/56741-intrack,hardware
2,25,cityscapes,"Best Use of VR/AR for Content Discovery, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56742-cityscapes,vr/ar
2,26,TrolleyStory,"Best Use of MongoDB, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56744-trolleystory,social + civic hacking
2,27,Financial Kideracy,"Best Financial Hack Using the Aladdin API, Best Use of the Capital One API - Nessie, Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience, Best Domain Name Registered in PennApps XIV",http://pennapps-xiv.devpost.com/submissions/56745-financial-kideracy,education
2,28,TWOFOLD,Best Use of Data Visualization,http://pennapps-xiv.devpost.com/submissions/56748-twofold,social + civic hacking
2,29,Finalytics,"Best Financial Hack Using the Aladdin API, Best Domain Name Registered in PennApps XIV, Best Use of Linode Services, Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56749-finalytics,education
2,30,FitMe,"Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56751-fitme,social + civic hacking
2,31,Eggsy,"Lutron IoT Prize, Best Use of Rapid Prototyping, sposnored by AddLab, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56753-eggsy,hardware
2,32,InteGreat!,Best Progressive Web App,http://pennapps-xiv.devpost.com/submissions/56754-integreat,education
